epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,1904.63,1.661,1.19103,0.92887,0.66008,0.59908,0.54651,0.26796,1.67042,1.12269,0.9182,0.000802,0.000802,0.000802
22,1993.62,1.67558,1.19358,0.9337,0.54672,0.59014,0.52894,0.24654,1.71655,1.16964,0.91971,0.0007921,0.0007921,0.0007921
23,2082.65,1.68382,1.18897,0.93081,0.52171,0.60987,0.5231,0.24014,1.8162,1.15466,0.93377,0.0007822,0.0007822,0.0007822
24,2171.7,1.64259,1.17259,0.92514,0.44194,0.65869,0.54259,0.24348,1.84409,1.11513,0.93745,0.0007723,0.0007723,0.0007723
25,2260.61,1.63736,1.16219,0.92391,0.61192,0.56962,0.51425,0.25504,1.62045,1.11874,0.90956,0.0007624,0.0007624,0.0007624
26,2349.48,1.62378,1.14127,0.92157,0.4661,0.644,0.57075,0.27252,1.77222,1.12369,0.92973,0.0007525,0.0007525,0.0007525
27,2438.97,1.61745,1.14664,0.92253,0.55572,0.60052,0.53998,0.25083,1.90516,1.16393,0.94747,0.0007426,0.0007426,0.0007426
28,2528.1,1.62805,1.14358,0.92421,0.43805,0.69275,0.561,0.26466,1.73208,1.13279,0.92006,0.0007327,0.0007327,0.0007327
29,2617.15,1.62248,1.15318,0.92501,0.58215,0.56547,0.51064,0.24649,1.64835,1.12198,0.91027,0.0007228,0.0007228,0.0007228
30,2706.19,1.62665,1.12844,0.91501,0.48524,0.68677,0.5687,0.28751,1.69201,1.11446,0.91605,0.0007129,0.0007129,0.0007129
31,2795.82,1.61331,1.11344,0.92081,0.58305,0.63924,0.57601,0.28607,1.67555,1.0664,0.91572,0.000703,0.000703,0.000703
32,2884.91,1.61193,1.11552,0.91775,0.4126,0.70589,0.53743,0.26227,1.59409,1.10905,0.90379,0.0006931,0.0006931,0.0006931
33,2973.83,1.60654,1.11845,0.91759,0.48266,0.66753,0.59239,0.29445,1.62011,1.07859,0.90467,0.0006832,0.0006832,0.0006832
34,3063.27,1.6079,1.10411,0.92107,0.58033,0.58827,0.53645,0.26985,1.60521,1.07062,0.90325,0.0006733,0.0006733,0.0006733
35,3152.32,1.59636,1.11629,0.92019,0.47342,0.7022,0.57404,0.26886,1.80871,1.09043,0.93306,0.0006634,0.0006634,0.0006634
36,3241.27,1.58654,1.08684,0.9129,0.49285,0.65566,0.52687,0.25299,1.69151,1.0925,0.91671,0.0006535,0.0006535,0.0006535
37,3330.23,1.58185,1.0966,0.91128,0.45524,0.72003,0.53937,0.26882,1.601,1.06443,0.90316,0.0006436,0.0006436,0.0006436
38,3419.29,1.5795,1.07749,0.91914,0.52223,0.655,0.56361,0.27216,1.70303,1.06725,0.91654,0.0006337,0.0006337,0.0006337
39,3508.3,1.57789,1.07624,0.91095,0.49013,0.68445,0.5688,0.24507,1.89589,1.08529,0.94337,0.0006238,0.0006238,0.0006238
40,3597.27,1.57336,1.07287,0.91218,0.51765,0.67014,0.56158,0.27819,1.67495,1.08255,0.90977,0.0006139,0.0006139,0.0006139
41,3686.24,1.57619,1.07941,0.91794,0.46363,0.68369,0.53281,0.25184,1.62917,1.08244,0.90638,0.000604,0.000604,0.000604
42,3775.18,1.55609,1.09202,0.91048,0.60776,0.61136,0.59693,0.29748,1.5819,1.05966,0.89903,0.0005941,0.0005941,0.0005941
43,3864.58,1.5581,1.04713,0.91148,0.47562,0.68058,0.56536,0.28038,1.59444,1.04725,0.90401,0.0005842,0.0005842,0.0005842
44,3953.51,1.5522,1.06256,0.90938,0.47654,0.69072,0.53737,0.276,1.5581,1.08032,0.89736,0.0005743,0.0005743,0.0005743
45,4042.42,1.56637,1.0701,0.91156,0.46295,0.65704,0.54026,0.24781,1.78389,1.08235,0.92659,0.0005644,0.0005644,0.0005644
46,4131.28,1.55209,1.0511,0.9087,0.5224,0.66898,0.55532,0.25752,1.72578,1.05627,0.91843,0.0005545,0.0005545,0.0005545
47,4220.15,1.57562,1.06254,0.91436,0.47245,0.70576,0.56175,0.27803,1.5852,1.08165,0.90098,0.0005446,0.0005446,0.0005446
48,4309.13,1.53145,1.06899,0.90554,0.50258,0.67638,0.53215,0.27109,1.5755,1.06361,0.89816,0.0005347,0.0005347,0.0005347
49,4398.22,1.55572,1.03307,0.90926,0.48531,0.67579,0.5799,0.29435,1.58398,1.05513,0.90068,0.0005248,0.0005248,0.0005248
50,4487.21,1.55144,1.04957,0.911,0.45941,0.69795,0.59394,0.30187,1.5904,1.05479,0.90179,0.0005149,0.0005149,0.0005149
51,4576.59,1.55125,1.03548,0.91011,0.5424,0.65426,0.5808,0.27303,1.7399,1.05024,0.92044,0.000505,0.000505,0.000505
