epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6245.77,1.48317,1.38467,0.89728,0.46119,0.53337,0.48451,0.25481,1.47688,1.31597,0.88396,0.0005941,0.0005941,0.0005941
43,6392.77,1.50101,1.39296,0.90032,0.45225,0.54238,0.48423,0.24876,1.53574,1.29949,0.89021,0.0005842,0.0005842,0.0005842
44,6538.99,1.48463,1.38732,0.89975,0.4416,0.56994,0.48735,0.2523,1.48284,1.29923,0.88458,0.0005743,0.0005743,0.0005743
45,6685.35,1.4953,1.39096,0.89963,0.40048,0.55641,0.46802,0.24178,1.5358,1.31147,0.88818,0.0005644,0.0005644,0.0005644
46,6831.3,1.50673,1.38713,0.90503,0.43497,0.56587,0.47957,0.24523,1.52276,1.28616,0.88847,0.0005545,0.0005545,0.0005545
47,6977.48,1.48387,1.37593,0.89924,0.41816,0.574,0.48317,0.25313,1.46394,1.28932,0.88146,0.0005446,0.0005446,0.0005446
48,7123.32,1.46091,1.38183,0.89355,0.45864,0.53551,0.49453,0.25778,1.47651,1.27975,0.88296,0.0005347,0.0005347,0.0005347
49,7269.89,1.46338,1.35756,0.89574,0.47538,0.56193,0.48658,0.25319,1.47532,1.27087,0.88184,0.0005248,0.0005248,0.0005248
50,7415.93,1.47365,1.35222,0.89638,0.42146,0.58698,0.48215,0.25096,1.48391,1.29513,0.88333,0.0005149,0.0005149,0.0005149
51,7561.95,1.47157,1.33755,0.89557,0.44961,0.56187,0.49721,0.25972,1.48041,1.27717,0.88221,0.000505,0.000505,0.000505
52,7708.78,1.47224,1.32465,0.89656,0.45628,0.55598,0.49389,0.2607,1.47592,1.28335,0.882,0.0004951,0.0004951,0.0004951
53,7855.35,1.46952,1.32958,0.89429,0.4346,0.56095,0.49422,0.25937,1.4762,1.27311,0.88207,0.0004852,0.0004852,0.0004852
54,8001.17,1.47008,1.35449,0.89481,0.43607,0.57321,0.49155,0.25708,1.46321,1.28134,0.88077,0.0004753,0.0004753,0.0004753
